Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/26/2022","0920","N571JB","JFK","07:00","06:50","127","119","-10","07:05","15","0","0","0","0","0"
"B6","01/26/2022","1320","N324JB","JFK","21:49","21:47","129","120","-2","22:01","14","0","0","0","0","0"
"B6","01/27/2022","0396","N3077J","BOS","10:55","10:45","147","149","-10","11:07","22","0","0","0","0","0"
"B6","01/27/2022","0467","N228JB","FLL","07:30","07:31","110","132","1","08:11","40","1","0","22","0","0"
"B6","01/27/2022","0520","N653JB","JFK","12:23","12:17","126","128","-6","12:41","24","0","0","0","0","0"
"B6","01/27/2022","0696","N328JB","BOS","17:38","17:25","151","159","-13","17:38","13","0","0","0","0","0"
"B6","01/27/2022","0720","N661JB","JFK","16:49","16:36","131","128","-13","16:57","21","0","0","0","0","0"
"B6","01/27/2022","0920","N580JB","JFK","07:00","06:50","127","144","-10","07:09","19","0","0","0","0","0"
"B6","01/27/2022","1320","N274JB","JFK","21:49","21:45","129","119","-4","21:59","14","0","0","0","0","0"
"B6","01/27/2022","2606","N339JB","EWR","18:46","18:48","134","122","2","19:01","13","0","0","0","0","0"
"B6","01/28/2022","0396","N3085J","BOS","10:55","11:19","147","140","24","11:33","14","11","0","0","0","6"
"B6","01/28/2022","0467","N273JB","FLL","07:30","07:25","110","111","-5","07:41","16","0","0","0","0","0"
"B6","01/28/2022","0520","N591JB","JFK","12:23","13:30","126","120","67","13:41","11","15","0","0","0","46"
"B6","01/28/2022","0696","N198JB","BOS","17:38","00:00","151","0","0","00:00","0","0","0","0","0","0"
"B6","01/28/2022","0720","N715JB","JFK","16:49","00:00","131","0","0","00:00","0","0","0","0","0","0"
"B6","01/28/2022","0920","N821JB","JFK","07:00","06:55","127","144","-5","07:09","14","0","0","0","0","0"
"B6","01/28/2022","1320","N216JB","JFK","21:49","01:49","129","134","240","02:04","15","153","0","5","0","87"
"B6","01/28/2022","2606","N348JB","EWR","18:46","00:00","134","0","0","00:00","0","0","0","0","0","0"
"B6","01/29/2022","0396","N3023J","BOS","10:55","00:00","147","0","0","00:00","0","0","0","0","0","0"
"B6","01/29/2022","0467","N187JB","FLL","07:30","12:32","110","97","302","12:45","13","289","0","0","0","0"
"B6","01/29/2022","0520","N715JB","JFK","12:23","00:00","126","0","0","00:00","0","0","0","0","0","0"
"B6","01/29/2022","0720","N806JB","JFK","16:49","00:00","131","0","0","00:00","0","0","0","0","0","0"
"B6","01/29/2022","0920","N599JB","JFK","07:00","00:00","127","0","0","00:00","0","0","0","0","0","0"
"B6","01/29/2022","1320","N348JB","JFK","21:49","00:00","129","0","0","00:00","0","0","0","0","0","0"
"B6","01/30/2022","0396","N3008J","BOS","10:55","00:00","147","0","0","00:00","0","0","0","0","0","0"
"B6","01/30/2022","0467","N304JB","FLL","07:30","07:52","110","103","22","08:05","13","15","0","0","0","0"
"B6","01/30/2022","0520","N599JB","JFK","12:23","00:00","126","0","0","00:00","0","0","0","0","0","0"
"B6","01/30/2022","0696","N629JB","BOS","17:38","22:46","151","141","308","23:05","19","20","0","0","0","278"
"B6","01/30/2022","0720","N634JB","JFK","16:49","21:38","131","195","289","21:55","17","58","0","64","0","231"
"B6","01/30/2022","0920","N634JB","JFK","07:00","10:27","127","162","207","10:52","25","207","0","35","0","0"
"B6","01/30/2022","1320","N348JB","JFK","21:49","23:08","129","142","79","23:23","15","79","0","13","0","0"
"B6","01/30/2022","2606","N281JB","EWR","18:46","21:01","134","187","135","21:15","14","60","0","53","0","75"
"B6","01/31/2022","0396","N3044J","BOS","10:55","10:48","147","150","-7","11:05","17","0","0","0","0","0"
"B6","01/31/2022","0467","N266JB","FLL","07:30","08:36","110","102","66","08:54","18","58","0","0","0","0"
"B6","01/31/2022","0520","N657JB","JFK","12:23","12:20","126","133","-3","12:37","17","0","0","0","0","0"
"B6","01/31/2022","0696","N279JB","BOS","17:38","18:40","151","152","62","18:56","16","15","0","1","0","47"
"B6","01/31/2022","0720","N834JB","JFK","16:49","00:00","131","0","0","00:00","0","0","0","0","0","0"
"B6","01/31/2022","0920","N806JB","JFK","07:00","07:53","127","157","53","08:09","16","53","0","30","0","0"
"B6","01/31/2022","1320","N329JB","JFK","21:49","22:46","129","140","57","23:02","16","17","0","11","0","40"
"B6","01/31/2022","2606","N238JB","EWR","18:46","18:58","134","133","12","19:15","17","0","0","0","0","0"
"B6","02/01/2022","0396","N3065J","BOS","10:55","11:33","147","146","38","11:51","18","37","0","0","0","0"
"B6","02/01/2022","0467","N231JB","FLL","07:30","16:13","111","98","523","16:24","11","35","0","0","0","475"
"B6","02/01/2022","0520","N827JB","JFK","12:23","12:19","126","125","-4","12:37","18","0","0","0","0","0"
"B6","02/01/2022","0720","N547JB","JFK","16:49","17:01","131","127","12","17:15","14","0","0","0","0","0"
